Navn,Pris,Valuta,Begraenset,AntalOutfits,Aar,By
Festive Tricky,60,Noegler,Ja,2,2020,SaintPetersburg
Festive Yutani,,RigtigePenge,Ja,1,2020,SaintPetersburg
Finlay,,Event,Ja,1,2025,Edinburgh
Finn,,Event,Ja,0,2024,Underwater
Frank,40000,Moenter,Nej,2,2012,Classic
Frank Noir,,RigtigePenge,Ja,0,2026,Hollywood
Frankette,,RigtigePenge,Ja,0,2021,SpaceStation
Fresh,50,Event,Nej,2,2012,Classic
Freya,95000,Moenter,Ja,2,2017,Copenhagen
Frutti,400,Event,Ja,0,2023,Edinburgh
Gabriel,,Event,Ja,1,2025,Rio
George,300,Event,Ja,2,2022,Oxford
Ginger,,Event,Ja,0,2024,Vancouver
Gingerbot,10,Event,Ja,1,2021,NorthPole
Glorgalax,,Event,Ja,0,2024,Hollywood
Golden Guardian,,RigtigePenge,Ja,0,2026,Bali
Grand Juke,,Event,Ja,0,2024,WinterWonderland
Guard,,Event,Nej,0,,
Guard King,400,Event,Ja,0,2024,Classic
Hali,,Event,Ja,1,2023,Hawaii
Hammy-Bee,,Event,Ja,0,2024,Classic
Hamza,,Event,Ja,0,2024,Marrakesh
Harumi,100000,Moenter,Ja,2,2013,Tokyo
Hasina,300,Event,Ja,2,2022,Cairo
Henry,,Event,Ja,1,2025,Oxford
Holly,,Event,Ja,1,2026,Hollywood
Horse,400,Event,Ja,0,2026,London
Hou,40,Noegler,Ja,1,2021,Gansu
Hugo,95000,Moenter,Ja,2,2019,Zurich
Hélène,,Event,Ja,0,2024,Paris
Izzy,100000,Moenter,Ja,2,2015,Hawaii
J Balvin,,RigtigePenge,Ja,0,2023,Seoul
Jack,95000,Moenter,Ja,1,2020,LittleRock
Jake,0,Gratis,Nej,2,,Classic
Jamie,100000,Moenter,Ja,2,2013,London
Jaro,95000,Moenter,Ja,1,2016,Prague
Jasmine,100000,Moenter,Ja,2,2014,Cairo
Jay,100000,Moenter,Ja,2,2014,Mumbai
Jenny,95000,Moenter,Ja,2,2016,SanFrancisco
Ji-Yeong,,Event,Ja,1,2023,Seoul
Jia,100000,Moenter,Ja,2,2016,Singapore
Jolien,95000,Moenter,Ja,2,2016,Amsterdam
Joo Won,,Event,Ja,1,2025,Seoul
Juju,,Event,Nej,0,,Miami
Kaito,400,Event,Ja,1,2026,Tokyo
Kaleo,,Event,Ja,1,2025,Hawaii
Kareem,60,Noegler,Ja,1,2019,Dubai
Kedi,,Event,Ja,0,2024,Istanbul
Kim,100000,Moenter,Nej,2,2013,Sydney
King,80000,Moenter,Nej,2,2012,Classic
Koral,25000,Event,Ja,2,2021,Mumbai
LOC,,RigtigePenge,Ja,0,2025,Copenhagen
Lamar,50,Noegler,Ja,0,2020,Miami
Lana,,RigtigePenge,Ja,1,2021,NewYork
Lauren,95000,Moenter,Ja,2,2016,WashingtonDC
Lawrence,,Event,Ja,1,2023,London
Lee,95000,Moenter,Ja,2,2017,Shanghai
Leif,,Event,Ja,1,2024,Iceland
Leo,,Event,Ja,0,2024,Paris
Lestari,400,Event,Ja,1,2026,Bali
Lily,,Event,Ja,1,2024,SanFrancisco
Liu,,RigtigePenge,Ja,1,2020,Guilin
Logan,,Event,Ja,0,2024,Vancouver
Lorcan,,RigtigePenge,Ja,0,2026,London
Lucky,,Event,Ja,1,2024,Ireland
Lucy,7000,Moenter,Nej,2,2012,Classic
Maeko,,RigtigePenge,Ja,2,2019,Sanya
Mala,25000,Event,Ja,2,2021,Vancouver
Malik,95000,Moenter,Ja,2,2016,WinterHoliday
Mallard Tricky,40000,Event,Ja,0,2025,Edinburgh
Manny,95000,Moenter,Ja,2,2017,Mexico
Marco,100000,Moenter,Ja,2,2015,Venice
Marie Macaron,,RigtigePenge,Ja,0,2026,Paris
Mateo,,Event,Ja,1,2025,Mexico
Max,60000,Event,Ja,0,2025,BrawlStars
Meggan,41000,Event,Ja,0,2024,Ireland
Mei,95000,Moenter,Ja,2,2019,Bali
Mia,,Event,Ja,1,2026,WinterXtreme
Mike,100000,Moenter,Ja,2,2015,Transylvania
Mimi,,RigtigePenge,Ja,1,2019,Harbin
Mina,100000,Moenter,Ja,2,2014,Seoul
Ming,,RigtigePenge,Ja,1,2020,Hangzhou
Miss Maia,,Event,Nej,0,2019,SanFrancisco
Moira,210,Event,Ja,2,2022,Greece
Monkbot,,RigtigePenge,Ja,0,2020,Beijing
Morgan,75,Noegler,Ja,1,2020,Cambridge
Mr. Gobbles,,Event,Ja,0,2025,NewYork
Nick,100000,Moenter,Ja,2,2013,Miami
Nicolai,95000,Moenter,Ja,2,2017,SaintPetersburg
Nikos,100000,Moenter,Ja,2,2015,Greece
Nina,40,Noegler,Ja,2,2018,Berlin
Ninja,20000,Moenter,Nej,2,2012,Classic
Noel,60,Noegler,Ja,1,2020,Cambridge
Noon,100000,Moenter,Ja,2,2014,Bangkok
Odell,50,Noegler,Ja,0,2020,Miami
Olivia,100000,Moenter,Ja,2,2014,Vancouver
Oni Hime,,RigtigePenge,Ja,1,2025,Osaka
Outatime Jake,,RigtigePenge,Ja,0,2023,HauntedHood
Ox,60,Noegler,Ja,0,2021,JourneyToTheEast
Ozzy,,Event,Ja,0,2024,NewOrleans
Parkour Rin,12000,Event,Ja,0,2021,Paris
Patrick,50,Noegler,Ja,0,2020,Miami
Peter,,Event,Ja,1,2025,Classic
Philip,95000,Moenter,Ja,2,2017,Monaco
Phoenix,400,Event,Ja,2,2021,VeniceBeach
Pierre,400,Event,Ja,1,2026,Paris
Pink,210,Event,Ja,2,2022,Vancouver
Pins,,Event,Ja,0,2024,NewOrleans
Piper,,Event,Ja,0,2025,BrawlStars
Pixel Jake,,Event,Ja,0,2024,Classic
Poco,,Event,Ja,0,2025,BrawlStars
Pride Frank,30000,Event,Ja,0,2021,ChangAn
Pride Fresh,75,Noegler,Ja,0,2021,ChangAn
Pride Jake,75,Noegler,Ja,0,2021,ChangAn
Pride Miss Maia,210,Event,Ja,0,2022,SanFrancisco
Pride Spike,75,Noegler,Ja,0,2021,ChangAn
Pride Tricky,15000,Event,Ja,0,2021,ChangAn
Pride Yutani,20000,Event,Ja,0,2021,ChangAn
Pridebot,300,Event,Ja,0,2021,ChangAn
Prince K,980000,Moenter,Nej,2,2012,Classic
Pumpkin Pete,,Event,Ja,0,2024,HauntedHood
Qin,95000,Moenter,Ja,1,2021,Xian
Rabbit,400,Event,Ja,0,2023,LunarNewYear
Rabbot,40,Noegler,Ja,1,2019,Zurich
Rain,400,Event,Ja,1,2023,NewYork
Ramona,95000,Moenter,Ja,2,2016,Havana
Rani,,Event,Ja,1,2025,Mumbai
Rat,60,Noegler,Ja,0,2021,JourneyToTheEast
Ratak,400,Event,Ja,1,2026,Copenhagen
Rebeca Roar,,RigtigePenge,Ja,1,2025,Rio
Red,,Event,Ja,0,2026,Copenhagen
Red Panda,,Event,Ja,0,2024,Ireland
Redino,,Event,Ja,0,,TBA
Rex,100000,Moenter,Ja,2,2015,LasVegas
Ribbon,,RigtigePenge,Ja,0,2025,Edinburgh
Riley,,Event,Ja,1,2024,SanFrancisco
Rin,40,Noegler,Ja,1,2019,Guangzhou
Roberto,100000,Moenter,Ja,2,2013,Rome
Rochelle Rebelle,,RigtigePenge,Ja,0,2025,WashingtonDC
Rocky,,RigtigePenge,Ja,0,2025,Mumbai
Rosa,100000,Moenter,Ja,2,2014,MexicoCity
Rosalita,,Event,Ja,0,2026,WinterXtreme
Rosalita (Subway Surfers City),,Event,Ja,0,,
Rosie,400,Event,Ja,1,2025,NewYork
Rudy Rascal,,Event,Ja,0,2024,Hollywood
Ruhi,,Event,Ja,0,2024,Istanbul
Salma,95000,Moenter,Ja,2,2017,Marrakesh
Sandy,,Event,Ja,1,2026,Sydney
Saquon,50,Noegler,Ja,0,2020,Miami
Saru,,Event,Ja,1,2025,Osaka
Scarlett,60,Noegler,Ja,2,2018,NewOrleans
Sean Snow,,RigtigePenge,Ja,0,2026,WinterXtreme
Si Woo,,RigtigePenge,Ja,1,2025,Seoul
Sindri,,Event,Ja,0,2024,Iceland
Skye,,Event,Ja,1,2024,SpaceStation
Snake,,Event,Ja,0,2025,YearOfTheSnake
Sneaky,,Event,Ja,3,2026,SneakySasquatch
Snowy,,Event,Ja,0,2024,WinterWonderland
Sofia,95000,Moenter,Ja,2,2018,BuenosAires
Song Yi,300,Event,Ja,2,2022,Luoyang
Soul,400,Event,Ja,2,2023,Oxford
Spacebot,,RigtigePenge,Ja,0,2021,SpaceStation
Spike,200,Event,Nej,2,2012,Classic
Spike (Brawl Stars),,RigtigePenge,Ja,0,2025,BrawlStars
Spraybot,400,Event,Ja,0,2023,Chicago
Sprinkle,,RigtigePenge,Ja,0,2026,Ireland
Stella,,Event,Ja,1,2024,LasVegas
Stevie,,Event,Ja,1,2025,Copenhagen
Sun,100000,Moenter,Ja,2,2013,Beijing
Sunny,,RigtigePenge,Ja,0,2025,Greece
Super Runner Fernando,,Event,Ja,1,2022,Rio
Super Runner Fresh,,Event,Ja,0,2022,Iceland
Super Runner Jake,,Event,Ja,0,2022,Copenhagen
Super Runner Tricky,,Event,Ja,0,2022,SanFrancisco
Super Runner Yutani,,Event,Ja,0,2022,SubwayCity
Tagbot,12000,Moenter,Nej,2,2012,Classic
Taha,25000,Event,Ja,2,2021,Marrakesh
Tainá,400,Event,Ja,1,2023,Rio
Tang Yuan,,Event,Ja,0,2025,ChinaTown
Tankbot,20,Event,Ja,1,2020,Peru
Tara,,RigtigePenge,Ja,0,2025,Oxford
Tasha,30000,Moenter,Nej,2,2012,Classic
Teabot,,Event,Ja,0,2024,Marrakesh
The Burger King,,Event,Ja,0,2022,SubwayCity
Thunder,,Event,Ja,1,2024,Shenzhen
Thursday,,Event,Ja,2,2023,HauntedHood
Tiger,35000,Event,Ja,0,2022,LunarNewYear
Toaxx,,RigtigePenge,Ja,0,2026,Copenhagen
Tom,50,Noegler,Ja,0,2020,Miami
Tony,100000,Moenter,Ja,2,2013,NewYork
Tricky,3,Event,Nej,2,2012,Classic
Trym,75,Noegler,Ja,1,2021,Copenhagen
Tsuki Chan,,RigtigePenge,Ja,0,2026,Tokyo
Tutti,400,Event,Ja,0,2023,Barcelona
Valentina,,Event,Ja,1,2025,Hawaii
Ventura,400,Event,Ja,0,2024,Hollywood
Vittorio,,RigtigePenge,Ja,0,2026,Rome
Vivienne,,Event,Ja,2,2023,London
Wayne,100000,Moenter,Ja,2,2014,LosAngeles
White Rabbit,,RigtigePenge,Ja,0,2025,Classic
Yutani,500,Event,Nej,1,2012,Classic
Yutani Harlequin Toad,,RigtigePenge,Ja,0,2023,Rio
Yutani Tree Frog,,RigtigePenge,Ja,0,2025,Barcelona
Yuto,,Event,Ja,1,2023,Tokyo
Zayn,,RigtigePenge,Ja,2,2021,Berlin
Zi Hao,210,Event,Ja,1,2022,Shenzhen
Zoe,120000,Moenter,Nej,2,2012,Classic
Zombie Jake,100000,Moenter,Ja,1,2012,
Zuri,100000,Moenter,Ja,1,2015,Kenya
